policy,env,block,grade_true,volume_allocated
eig,1,6,0.21693206379960261,21.0
eig,1,7,1.3816276382071415,36.0
eig,1,8,0.17673992044441444,26.0
eig,1,9,0.043748113307195025,13.0
eig,1,10,0.0885677551430599,16.0
eig,1,11,1.1391851500472658,36.0
epig,1,0,0.07757510621351019,18.0
epig,1,1,0.050517549471426566,25.0
epig,1,2,0.11575317416134848,2.0
epig,1,3,0.0506582264746632,11.0
epig,1,4,0.8598327809744648,35.0
epig,1,5,0.035487709384518146,9.0
epig,1,6,0.21693206379960261,21.0
epig,1,7,1.3816276382071415,34.0
epig,1,8,0.17673992044441444,22.0
epig,1,9,0.043748113307195025,15.0
epig,1,10,0.0885677551430599,14.0
epig,1,11,1.1391851500472658,34.0
maxent,1,0,0.07757510621351019,0.0
maxent,1,1,0.050517549471426566,0.0
maxent,1,2,0.11575317416134848,0.0
maxent,1,3,0.0506582264746632,0.0
maxent,1,4,0.8598327809744648,237.0
maxent,1,5,0.035487709384518146,0.0
maxent,1,6,0.21693206379960261,0.0
maxent,1,7,1.3816276382071415,2.0
maxent,1,8,0.17673992044441444,0.0
maxent,1,9,0.043748113307195025,0.0
maxent,1,10,0.0885677551430599,0.0
maxent,1,11,1.1391851500472658,1.0
d-optimality,1,0,0.07757510621351019,17.0
d-optimality,1,1,0.050517549471426566,22.0
d-optimality,1,2,0.11575317416134848,3.0
d-optimality,1,3,0.0506582264746632,14.0
d-optimality,1,4,0.8598327809744648,32.0
d-optimality,1,5,0.035487709384518146,9.0
d-optimality,1,6,0.21693206379960261,22.0
d-optimality,1,7,1.3816276382071415,33.0
d-optimality,1,8,0.17673992044441444,24.0
d-optimality,1,9,0.043748113307195025,14.0
d-optimality,1,10,0.0885677551430599,17.0
d-optimality,1,11,1.1391851500472658,33.0
neyman,1,0,0.07757510621351019,15.0
neyman,1,1,0.050517549471426566,16.0
neyman,1,2,0.11575317416134848,12.0
neyman,1,3,0.0506582264746632,9.0
neyman,1,4,0.8598327809744648,38.0
neyman,1,5,0.035487709384518146,10.0
neyman,1,6,0.21693206379960261,14.0
neyman,1,7,1.3816276382071415,41.0
neyman,1,8,0.17673992044441444,18.0
neyman,1,9,0.043748113307195025,15.0
neyman,1,10,0.0885677551430599,10.0
neyman,1,11,1.1391851500472658,42.0
predictive-variance,1,0,0.07757510621351019,40.0
predictive-variance,1,1,0.050517549471426566,0.0
predictive-variance,1,2,0.11575317416134848,0.0
predictive-variance,1,3,0.0506582264746632,0.0
predictive-variance,1,4,0.8598327809744648,40.0
predictive-variance,1,5,0.035487709384518146,0.0
predictive-variance,1,6,0.21693206379960261,40.0
predictive-variance,1,7,1.3816276382071415,40.0
predictive-variance,1,8,0.17673992044441444,40.0
predictive-variance,1,9,0.043748113307195025,0.0
predictive-variance,1,10,0.0885677551430599,0.0
predictive-variance,1,11,1.1391851500472658,40.0
epistemic,1,0,0.07757510621351019,40.0
epistemic,1,1,0.050517549471426566,0.0
epistemic,1,2,0.11575317416134848,0.0
epistemic,1,3,0.0506582264746632,0.0
epistemic,1,4,0.8598327809744648,40.0
epistemic,1,5,0.035487709384518146,0.0
epistemic,1,6,0.21693206379960261,40.0
epistemic,1,7,1.3816276382071415,40.0
epistemic,1,8,0.17673992044441444,40.0
epistemic,1,9,0.043748113307195025,0.0
epistemic,1,10,0.0885677551430599,0.0
epistemic,1,11,1.1391851500472658,40.0
thompson,1,0,0.07757510621351019,40.0
thompson,1,1,0.050517549471426566,0.0
thompson,1,2,0.11575317416134848,0.0
thompson,1,3,0.0506582264746632,0.0
thompson,1,4,0.8598327809744648,40.0
thompson,1,5,0.035487709384518146,0.0
thompson,1,6,0.21693206379960261,0.0
thompson,1,7,1.3816276382071415,80.0
thompson,1,8,0.17673992044441444,0.0
thompson,1,9,0.043748113307195025,0.0
thompson,1,10,0.0885677551430599,0.0
thompson,1,11,1.1391851500472658,80.0
uniform,1,0,0.07757510621351019,20.0
uniform,1,1,0.050517549471426566,20.0
uniform,1,2,0.11575317416134848,20.0
uniform,1,3,0.0506582264746632,20.0
uniform,1,4,0.8598327809744648,20.0
uniform,1,5,0.035487709384518146,20.0
uniform,1,6,0.21693206379960261,20.0
uniform,1,7,1.3816276382071415,20.0
uniform,1,8,0.17673992044441444,20.0
uniform,1,9,0.043748113307195025,20.0
uniform,1,10,0.0885677551430599,20.0
uniform,1,11,1.1391851500472658,20.0
random,1,0,0.07757510621351019,12.5
random,1,1,0.050517549471426566,3.0
random,1,2,0.11575317416134848,13.5
random,1,3,0.0506582264746632,42.5
random,1,4,0.8598327809744648,4.0
random,1,5,0.035487709384518146,2.0
random,1,6,0.21693206379960261,27.0
random,1,7,1.3816276382071415,42.0
random,1,8,0.17673992044441444,0.0
random,1,9,0.043748113307195025,1.0
random,1,10,0.0885677551430599,2.0
random,1,11,1.1391851500472658,90.0
eig@gamma-poisson,1,0,0.07757510621351019,18.0
eig@gamma-poisson,1,1,0.050517549471426566,16.0
eig@gamma-poisson,1,2,0.11575317416134848,0.0
eig@gamma-poisson,1,3,0.0506582264746632,18.0
eig@gamma-poisson,1,4,0.8598327809744648,30.0
eig@gamma-poisson,1,5,0.035487709384518146,8.0
eig@gamma-poisson,1,6,0.21693206379960261,27.0
eig@gamma-poisson,1,7,1.3816276382071415,30.0
eig@gamma-poisson,1,8,0.17673992044441444,26.0
