policy,env,spent,rounds,decide_seconds,nlpd,flux_dex,topm_regret
uniform,2,15.0,3,4.7869980335235596e-06,4.18165945857598,0.3781231917182339,0.08302480647329086
uniform,2,30.0,6,8.515955414623022e-06,4.0988635871199355,0.3568613516926684,0.08302480647329086
uniform,2,60.0,12,1.4177989214658737e-05,4.010268738326565,0.3240689710569753,0.08302480647329086
uniform,2,90.0,18,1.8744991393759847e-05,3.9099240568377707,0.29690160031965035,0.08302480647329086
uniform,2,120.0,24,2.3576023522764444e-05,3.7666123027538774,0.253003212711041,0.08302480647329086
random,2,15.0,3,2.780303475446999e-05,4.236469422708112,0.38142892623652386,0.08302480647329086
random,2,30.0,6,4.830202669836581e-05,4.19589180724747,0.36582206117576854,0.08302480647329086
random,2,60.0,8,6.513300468213856e-05,4.190177971826194,0.36110677968532856,0.08302480647329086
random,2,90.0,9,7.495700265280902e-05,4.170415057537819,0.35531569523686657,0.08302480647329086
random,2,120.0,19,0.00012123401393182576,4.114297527837178,0.3456706225560081,0.05491473527606266
eig@gamma-poisson,2,15.0,30,0.07914252305636182,4.099066598808885,0.2982098820310333,0.008953439787214055
eig@gamma-poisson,2,30.0,60,0.10565230704378337,3.9849643922649087,0.2349619736194938,0.008953439787214055
eig@gamma-poisson,2,60.0,120,0.15858539412147366,3.7918488041671288,0.2040492744939307,0.0008132316696833684
eig@gamma-poisson,2,90.0,180,0.20701056817779317,3.673455007346489,0.17375990795864404,0.0008132316696833684
eig@gamma-poisson,2,120.0,240,0.2553354051487986,3.4961670693032,0.1626354789596676,0.0008132316696833684
eig@lognormal-poisson,2,15.0,30,30.887699502927717,4.084259732148635,0.29010230425291844,0.008953439787214055
eig@lognormal-poisson,2,30.0,60,31.454384560027393,3.912782097298729,0.22178097206096167,0.008953439787214055
eig@lognormal-poisson,2,60.0,120,32.35724283489981,3.823324253516393,0.20366862554117077,0.0008132316696833684
eig@lognormal-poisson,2,90.0,180,33.21224780095508,3.5870214304568564,0.16594296379649864,0.0008132316696833684
eig@lognormal-poisson,2,120.0,240,33.97429237389588,3.4703385309876693,0.1387147612785298,0.0008132316696833684
eig,3,15.0,30,1.7317603720293846,4.208635784735302,0.3191354676356317,0.21069976264539023
eig,3,30.0,60,2.0297922280733474,3.927657660122891,0.2687930317638169,0.1483171562614893
eig,3,60.0,120,2.633920308027882,3.5641079552974317,0.16945201235504748,0.0
eig,3,90.0,180,3.2011369599495083,3.461503775595613,0.15376983530494612,0.0
eig,3,120.0,240,3.76609381189337,3.3803839690293134,0.13559052357002926,0.0
epig,3,15.0,30,9.56665537095978,4.208635784735302,0.3191354676356317,0.21069976264539023
epig,3,30.0,60,13.371832971082767,3.927657660122891,0.2687930317638169,0.1483171562614893
epig,3,60.0,120,20.232423652050784,3.5641079552974317,0.16945201235504748,0.0
epig,3,90.0,180,26.983874495257623,3.461503775595613,0.15376983530494612,0.0
epig,3,120.0,240,33.45363879142678,3.3803839690293134,0.13559052357002926,0.0
maxent,3,15.0,30,1.5635100009967573,4.344536377533878,0.4075786045469431,0.3400593142012211
maxent,3,30.0,60,1.8205693909840193,4.331070501442253,0.40748151341425065,0.3400593142012211
maxent,3,60.0,120,2.3037007550010458,4.319096836896268,0.40743108020180885,0.3400593142012211
maxent,3,90.0,180,2.7904762500838842,4.318684869537815,0.4074296271158314,0.3400593142012211
maxent,3,120.0,240,3.275218739086995,4.318070463009161,0.40742654756898883,0.3400593142012211
d-optimality,3,15.0,30,0.041206834983313456,4.139834999143198,0.3239159234338454,0.30665673206403365
d-optimality,3,30.0,60,0.05614230502396822,3.9131619722782554,0.23109474154134477,0.07822930526985931
d-optimality,3,60.0,120,0.08552215198869817,3.56430675653023,0.16480758139941432,0.0
d-optimality,3,90.0,180,0.11895032398751937,3.457685174158281,0.15358364074538186,0.0
d-optimality,3,120.0,240,0.15323445890680887,3.3801249364622348,0.13520120724043277,0.0
neyman,3,15.0,30,0.13222284393850714,4.208635784735302,0.3191354676356317,0.21069976264539023
neyman,3,30.0,60,0.2470858219312504,3.8024277224272995,0.22181023347107828,0.039438564544760586
neyman,3,60.0,120,0.4930359128920827,3.605929748893901,0.18094539557510395,0.0
neyman,3,90.0,180,0.7478710029099602,3.4281413328134493,0.14913079929167355,0.0
neyman,3,120.0,240,1.0057194038818125,3.408203785868898,0.15061877935808757,0.0
predictive-variance,3,15.0,1,0.02759445400442928,4.470743217793927,0.43784600068140533,0.3400593142012211
predictive-variance,3,30.0,2,0.028549921000376344,4.441998332834271,0.4375277460754232,0.3400593142012211
predictive-variance,3,60.0,3,0.029489694978110492,4.413411604990171,0.43436565063168403,0.36353639252112924
predictive-variance,3,90.0,4,0.030486856965580955,4.373370010360599,0.4325288190922431,0.36353639252112924
predictive-variance,3,120.0,44,0.05045029707252979,3.8474055614690172,0.2674680684782231,0.13247045737553104
epistemic,3,15.0,1,0.027500252006575465,4.470743217793927,0.43784600068140533,0.3400593142012211
