policy,env,source,flux_true,time_allocated
maxent,1,7,7.147,0.0
maxent,1,8,1.37528,0.0
maxent,1,9,14.8422,0.0
maxent,1,10,10.6847,0.5
maxent,1,11,3.65477,0.0
maxent,1,12,5.16789,0.0
maxent,1,13,1.7768700000000002,0.0
maxent,1,14,12.0998,0.0
maxent,1,15,15.6086,0.5
maxent,1,16,1.5671899999999999,0.0
maxent,1,17,1.53788,0.0
maxent,1,18,3.00805,0.0
maxent,1,19,5.931369999999999,0.0
maxent,1,20,11.165899999999999,0.5
maxent,1,21,17.052,0.0
maxent,1,22,11.5075,0.0
maxent,1,23,3.1340500000000002,0.0
maxent,1,24,2.26457,0.0
maxent,1,25,4.38114,0.5
maxent,1,26,1.14199,0.0
maxent,1,27,25.5427,0.0
maxent,1,28,28.836699999999997,0.0
maxent,1,29,31.8852,0.0
maxent,1,30,7.48797,0.5
maxent,1,31,2.59399,0.0
maxent,1,32,7.34185,0.0
maxent,1,33,2.8333999999999997,0.0
maxent,1,34,9.15437,0.0
maxent,1,35,3.58615,0.5
maxent,1,36,9.168339999999999,0.0
maxent,1,37,1.2640799999999999,0.0
maxent,1,38,2.52084,0.0
maxent,1,39,7.75063,0.0
maxent,1,40,10.2089,0.5
maxent,1,41,1.7323199999999999,0.0
maxent,1,42,1.69916,0.0
maxent,1,43,2.62308,0.0
maxent,1,44,2.35986,0.0
maxent,1,45,40.3706,112.5
maxent,1,46,2.8673200000000003,0.0
maxent,1,47,6.76722,0.0
d-optimality,1,0,28.5706,3.0
d-optimality,1,1,1.5359900000000002,1.5
d-optimality,1,2,3.40753,1.5
d-optimality,1,3,4.30819,1.0
d-optimality,1,4,44.307100000000005,3.0
d-optimality,1,5,5.339799999999999,3.0
d-optimality,1,6,22.3683,3.0
d-optimality,1,7,7.147,3.0
d-optimality,1,8,1.37528,1.5
d-optimality,1,9,14.8422,3.0
d-optimality,1,10,10.6847,3.0
d-optimality,1,11,3.65477,3.0
d-optimality,1,12,5.16789,2.5
d-optimality,1,13,1.7768700000000002,1.0
d-optimality,1,14,12.0998,3.0
d-optimality,1,15,15.6086,3.0
d-optimality,1,16,1.5671899999999999,1.5
d-optimality,1,17,1.53788,2.0
d-optimality,1,18,3.00805,2.5
d-optimality,1,19,5.931369999999999,2.5
